ARTICULO;MODELO;EAN;SUBFAMILIA;NOMBRE_SUBFAMILIA;DESCRIPCION;MARCA;PRECIO;STOCK;PVPR;IVA_TECNO;OBSOLETO;CANONDIGITAL;FAMILIA;NOMBREFAMILIA;ART_EXCLU_E;NOMBRECARACTERISTICA;VALOR;NOMBRECARACTERISTICA1;VALOR1;NOMBRECARACTERISTICA2;VALOR2;NOMBRECARACTERISTICA3;VALOR3;NOMBRECARACTERISTICA4;VALOR4;NOMBRECARACTERISTICA5;VALOR5;NOMBRECARACTERISTICA6;VALOR6;NOMBRECARACTERISTICA7;VALOR7;URLIMAGEN
01170809;PIRAMIDEPLUS60X;7612985649803;CAM;CAMPANA DECORATIVA;PIRAMIDEPLUS60X;MEPAMSA;82,17;10;140,428530; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Ancho;595;Max. Capacidad Extracc.;290 m³/h;Numero de velocidades;3;Clase eficiencia energetica;C;Nivel de ruido;64 dB;Consumo energetico; ;https://integra.hepecasa.es/01/01170809.jpg
01170816;DGE5661HM;7332543793624;CAO;CAMPANA INTEGRABLES;DGE5661HM;AEG;218,98;0;374,236820; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Altura; ;Ancho;540;Max. Capacidad Extracc.;700 m³/h;Clase eficiencia energetica;A;Numero de velocidades;3;Nivel de ruido;70 dB;https://integra.hepecasa.es/01/01170816.jpg
01170825;BRISAPLUS60IX;7612985649650;CAS;CAMPANA CLASICA CONVENCIONAL;BRISAPLUS60IX;MEPAMSA;58,70;0;100,3183; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Altura; ;Ancho;595;Max. Capacidad Extracc.;180 m³/h;Clase eficiencia energetica;C;Numero de velocidades;3;Nivel de ruido;71 dB;https://integra.hepecasa.es/01/01170825.jpg
01170835;BELINEARS157140;8434778004298;FRG;FREGADERO;BELINEARS157140;TEKA;233,11;0;398,384990; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho;440;Color;Acero inoxidable;profundidad primer cuenco;20 cm;Num. orificios; ;dimension primer cuenco;400 x 710 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01170835.jpg
01170837;KD120HXE;8017709257651;CAM;CAMPANA DECORATIVA;KD120HXE;SMEG;494,36;0;844,861240; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Ancho;1200;Max. Capacidad Extracc.;820 m³/h;Numero de velocidades;3;Clase eficiencia energetica;A+;Nivel de ruido;67 dB;Consumo energetico; ;https://integra.hepecasa.es/01/01170837.jpg
01170840;FKUV1610;9005382167090;FRH;FRIGORIFICO 1 PUERTA;FKUV1610;LIEBHERR;596,43;0;1019,298870; ; ;0;01;GAMA BLANCA; ;Atura Frigos  Agrupada; ;Ancho Frigos Agrupada; ;Color;Blanco;Altura;830;Ancho;600;Profundidad;615;Clase eficiencia energetica;C;Congelador incorporado;NO;https://integra.hepecasa.es/01/01170840.jpg
01170846;A3FE742CGBJ;6901018058974;FRO;FRIGORIFICO COMBI;3AFE742CGBJ;HAIER;910,86;0;1556,659740; ; ;0;01;GAMA BLANCA; ;Atura Frigos  Agrupada; ;Ancho Frigos Agrupada; ;Color;Negro;Altura;1900;Ancho;700;Profundidad;680;Wifi Ctrol; ;Clase eficiencia energetica;A++;https://integra.hepecasa.es/01/01170846.jpg
01170943;SQUARE5040TGNEG;8434778007374;FRG;FREGADERO;SQUARE5040TGNEG;TEKA;178,99;2;305,893910; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho;540;Color;Negro;profundidad primer cuenco;20 cm;Num. orificios; ;dimension primer cuenco;503 x 400 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01170943.jpg
01170958;GBC63010KBN;8434778002966;ENC;ENCIMERA A GAS;GBC63010KBN;TEKA;134,84;7;230,441560; ; ;0;01;GAMA BLANCA; ;Altura;50;Ancho;600;Tipo Gas;Encimera de gas;Profundidad;510;Numero de zonas coccion;3 zona(s);Color;Negro;Clase eficiencia energetica; ;Tipo de control;Giratorio;https://integra.hepecasa.es/01/01170958.jpg
01171029;PURELINERS15;8434778004342;FRG;FREGADERO;PURELINERS15;TEKA;152,13;0;259,990170; ; ;0;01;GAMA BLANCA; ;Altura;200;Ancho;440;Color;Acero inoxidable;profundidad primer cuenco;20 cm;Num. orificios; ;dimension primer cuenco;440 x 310 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01171029.jpg
01171032;PURELINEFLEX;8434778004373;FRG;FREGADERO;PURELINEFLEX;TEKA;258,10;0;441,0929; ; ;0;01;GAMA BLANCA; ;Altura;200;Ancho;440;Color;Acero inoxidable;profundidad primer cuenco;20 cm;Num. orificios; ;dimension primer cuenco;440 x 750 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01171032.jpg
01171093;HLC8400STGRAY;8434778007640;HNN;HORNO COMPACTO;HLC8400STGRAY;TEKA;319,37;0;545,803330; ; ;0;01;GAMA BLANCA; ;Altura;455;Ancho;595;Profundidad;559;Tipo de horno;Horno eléctrico;Color;Gris;Clase eficiencia energetica;A+;Total capacidad interior, horno;44 L;Funcion Autolimpieza;Si;https://integra.hepecasa.es/01/01171093.jpg
01171094;ML8220BISLSTGRA;8434778007695;HMD;HORNO MICROONDAS INTEGRACION;ML8220BISLSTGRA;TEKA;323,07;0;552,126630; ; ;0;01;GAMA BLANCA; ;Capacidad interior;22 L;Color;Gris;Potencia microondas;2500 W;Niveles Potencia;5;Clase eficiencia energetica; ;Grill;Si;Grill Power;1200 W;Dimensiones (An x Prof x Al); ;https://integra.hepecasa.es/01/01171094.jpg
01171103;GZC63310XBN;8434778005837;ENC;ENCIMERA A GAS;GZC63310XBN;TEKA;200,96;2;343,440640; ; ;0;01;GAMA BLANCA; ;Altura;50;Ancho;600;Tipo Gas;Encimera de gas;Profundidad;510;Numero de zonas coccion;3 zona(s);Color;Negro;Clase eficiencia energetica; ;Tipo de control;Giratorio;https://integra.hepecasa.es/01/01171103.jpg
